Date,State,Permit,Permit_Rechecked,Handgun,Long_Gun,Multiple,Other
2022-08,Alabama,20271.0,326.0,18400.0,13679.0,1074,1315.0
2022-08,Alaska,291.0,16.0,3225.0,3005.0,208,373.0
2022-08,Arizona,8278.0,2029.0,19079.0,9304.0,1239,1947.0
2022-08,Arkansas,2585.0,334.0,6885.0,5697.0,427,516.0
2022-08,California,39274.0,14674.0,39236.0,25005.0,0,5743.0
2022-08,Colorado,7271.0,128.0,20557.0,13165.0,1766,1812.0
2022-08,Connecticut,9417.0,689.0,4111.0,1347.0,0,874.0
2022-08,Delaware,490.0,0.0,1913.0,910.0,71,104.0
2022-08,District of Columbia,1102.0,0.0,491.0,18.0,12,0.0
2022-08,Florida,20897.0,0.0,60229.0,22654.0,3159,5518.0
2022-08,Georgia,10902.0,0.0,18868.0,9588.0,820,949.0
2022-08,Guam,0.0,0.0,204.0,78.0,18,20.0
2022-08,Hawaii,1716.0,0.0,0.0,0.0,0,0.0
2022-08,Idaho,6012.0,87.0,5663.0,5167.0,380,575.0
2022-08,Illinois,346856.0,0.0,21278.0,10914.0,0,1214.0
2022-08,Indiana,339.0,40859.0,23746.0,12311.0,1065,1717.0
2022-08,Iowa,3571.0,5974.0,2425.0,2684.0,96,151.0
2022-08,Kansas,1509.0,209.0,5954.0,5134.0,431,649.0
2022-08,Kentucky,797.0,238919.0,9851.0,7604.0,617,645.0
2022-08,Louisiana,2424.0,346.0,12861.0,8514.0,731,1002.0
2022-08,Maine,658.0,1.0,3778.0,3866.0,238,399.0
2022-08,Mariana Islands,0.0,0.0,9.0,9.0,2,0.0
2022-08,Maryland,16787.0,22.0,12452.0,5404.0,19,131.0
2022-08,Massachusetts,9865.0,0.0,5608.0,2939.0,288,1306.0
2022-08,Michigan,18326.0,6868.0,19504.0,15053.0,857,1908.0
2022-08,Minnesota,13461.0,34423.0,11079.0,11982.0,588,1096.0
2022-08,Mississippi,2651.0,0.0,10282.0,8410.0,658,574.0
2022-08,Missouri,1199.0,70.0,18675.0,14329.0,1242,1948.0
2022-08,Montana,891.0,2.0,4301.0,4340.0,284,382.0
2022-08,Nebraska,3954.0,152.0,107.0,1620.0,6,16.0
2022-08,Nevada,2555.0,0.0,5591.0,2426.0,353,387.0
2022-08,New Hampshire,1103.0,9.0,5954.0,3293.0,0,324.0
2022-08,New Jersey,0.0,0.0,10281.0,4003.0,0,1002.0
2022-08,New Mexico,1165.0,0.0,7463.0,4335.0,385,733.0
2022-08,New York,5060.0,3302.0,12197.0,23170.0,667,4325.0
2022-08,North Carolina,29181.0,87.0,1571.0,12808.0,250,1231.0
2022-08,North Dakota,736.0,15.0,1900.0,2753.0,127,175.0
2022-08,Ohio,5805.0,285.0,23314.0,13691.0,1210,1581.0
2022-08,Oklahoma,2989.0,3.0,12065.0,8538.0,931,1471.0
2022-08,Oregon,5007.0,358.0,15535.0,9139.0,10,0.0
2022-08,Pennsylvania,32791.0,1.0,43173.0,19780.0,0,42.0
2022-08,Puerto Rico,0.0,0.0,4808.0,352.0,54,53.0
