State,Income_2015,Income_2016,Income_2017,Income_2018,Income_2019,Income_2020,Income_2021
Alabama,50900,53314,56219,53879,59558,57243,56929
Alaska,85898,85494,86196,74161,83079,78236,81133
Arizona,59751,64468,65984,67201,74897,70220,70821
Arkansas,48944,51830,54988,53712,57799,53148,50784
California,72774,75235,77410,76055,82772,81278,81575
Colorado,76159,79671,82877,78801,76832,87689,84954
Connecticut,83355,85720,82125,78561,92507,83141,80958
Delaware,66049,65536,71799,70145,78628,73292,68687
District of Columbia,80133,80141,89838,92521,98675,92337,90640
Florida,55836,57779,58674,58959,61856,60460,59734
Georgia,58058,60434,64089,60229,60012,62033,61497
Hawaii,73778,81440,81346,86433,93265,84600,82199
Idaho,59037,63863,65760,63365,69932,69841,76918
Illinois,69088,69307,72913,75684,78845,77805,79253
Indiana,59447,63332,64953,64621,70679,69925,70190
Iowa,69593,66719,70148,74144,70002,72030,72429
Kansas,62743,64140,62889,68987,77523,76495,75979
Kentucky,48474,51223,54901,58863,58989,59405,55629
Louisiana,52516,47641,48151,53919,54797,53576,57206
Maine,58044,57418,58928,63295,70523,66667,71139
Maryland,84162,83277,90734,93031,101283,99215,97332
Massachusetts,77605,81591,84269,93163,92949,91912,86566
Michigan,61986,64458,62342,65222,67951,67399,64488
Minnesota,78599,79278,77341,77488,86292,82431,80441
Mississippi,45786,46402,47837,46159,47463,47242,46637
Missouri,67696,62115,62481,66600,64218,65081,63594
Montana,58775,64440,63450,62233,63792,59390,64999
Nebraska,69158,67035,65855,72911,77437,75622,78109
Nevada,59476,62583,64151,66749,75143,64020,64340
New Hampshire,86541,86100,83591,87769,92093,93045,88841
New Jersey,78173,77303,78739,80033,92969,89543,88559
New Mexico,51598,54703,50401,52096,56287,53283,53463
New York,66334,69364,68021,72586,76149,71865,72920
North Carolina,58091,60701,54762,57583,64814,63252,62891
North Dakota,65659,67950,66500,71756,74216,67109,68882
Ohio,60955,60951,67076,66500,68527,63198,62689
Oklahoma,53837,57516,57343,58732,62946,54921,60096
Oregon,69569,66765,69077,74626,78860,80443,81855
Pennsylvania,69061,68847,67736,69619,74800,74094,72627
Rhode Island,63699,69467,72285,67183,74344,83918,74982
South Carolina,53017,61347,60278,61980,65735,63159,62542
South Dakota,62972,64863,62905,64158,68095,73467,73893
Tennessee,54126,57969,61128,60487,60011,57542,62166
Texas,64582,65649,66417,64506,71474,71599,67404
Utah,75772,76188,77135,83152,89574,87915,87649
Vermont,68037,68687,70385,75599,78746,70398,76079
Virginia,70315,75025,78265,83243,86172,86053,80268
Washington,76899,79382,79071,86021,87381,85157,87648
West Virginia,48973,50077,51900,54566,56916,54396,46836
Wisconsin,63384,67535,70164,67574,71380,70553,69943
Wyoming,69673,65291,65803,67477,69027,68506,71052
