State,Overall,White,Black,Hispanic,Asian or Pacific Islander,American Indian or Alaska Native
Alabama,23.6,18.6,37,0,0,0
Alaska,23.5,20.6,0,0,0,40
Arizona,16.7,16.4,29.9,11.6,0,24.3
Arkansas,22.6,19.0,45.4,9.9,0,0
California,8.5,8.0,27.1,7.1,2.7,10.4
Colorado,15.4,14.8,28,13.4,0,0
Connecticut,6.0,4.0,18.2,4.4,0,0
Delaware,14.4,8.8,33.1,0,0,0
District of Columbia,21.9,0.0,49.8,0,0,0
Florida,13.7,13.1,24.9,6.9,3.9,0
Georgia,17.7,14.7,25.7,6.5,5.5,0
Hawaii,3.4,6.1,0,0,2.5,0
Idaho,17.6,18.6,0,11.7,0,0
Illinois,14.1,6.0,53.7,9,0,0
Indiana,17.3,13.1,49.8,11.9,0,0
Iowa,11.2,10.1,34.4,0,0,0
Kansas,16.9,14.2,41.7,15.5,0,0
Kentucky,20.1,17.4,47.6,0,0,0
Louisiana,26.3,15.4,46.4,8.2,0,0
Maine,10.4,10.6,0,0,0,0
Maryland,13.5,7.2,27.6,5.5,0,0
Massachusetts,3.7,2.6,11.9,4.6,0,0
Michigan,14.6,9.4,42.1,10.2,0,0
Minnesota,8.9,7.6,21.5,0,0,0
Mississippi,28.6,20.2,41.1,0,0,0
Missouri,23.9,16.4,73.7,11.8,0,0
Montana,20.9,19.7,0,0,0,38.8
Nebraska,10.1,9.5,23.4,0,0,0
Nevada,17.0,19.7,28.8,8.9,0,0
New Hampshire,8.9,9.5,0,0,0,0
New Jersey,5.0,3.1,17,2.9,0,0
New Mexico,22.7,25.6,46.4,20.2,0,14.2
New York,5.3,4.0,14.8,3,0,0
North Carolina,16.0,13.5,25.8,6.7,6.2,22.5
North Dakota,13.8,12.5,0,0,0,0
Ohio,15.2,10.3,45,7.7,0,0
Oklahoma,20.7,20.1,33.3,10.3,0,23.5
Oregon,13.0,13.5,26.3,8.5,0,0
Pennsylvania,13.6,9.0,42.2,9.3,0,0
Rhode Island,5.1,4.5,0,0,0,0
South Carolina,22.0,17.3,35.4,8.3,0,0
South Dakota,13.6,11.3,0,0,0,28.4
Tennessee,21.3,16.1,43.9,11,0,0
Texas,14.2,15.9,25.2,8.9,4.4,0
Utah,13.6,13.9,0,11.5,0,0
Vermont,11.6,10.9,0,0,0,0
Virginia,13.4,11.9,24.3,5.4,0,0
Washington,10.9,11.0,18.4,9.8,4.3,0
West Virginia,18.1,18.1,0,0,0,0
Wisconsin,12.2,9.1,46,9.4,0,0
Wyoming,25.9,26.7,0,0,0,0
