Location,Overall,White,Black,Hispanic,Asian or Pacific Islander,American Indian or Alaska Native
United States,13.6,11.6,31.8,7.9,2.9,18.7
Alabama,23.6,18.6,37,NSD,N/A,N/A
Alaska,23.5,20.6,N/A,N/A,N/A,40
Arizona,16.7,16.4,29.9,11.6,NSD,24.3
Arkansas,22.6,19,45.4,9.9,N/A,N/A
California,8.5,8,27.1,7.1,2.7,10.4
Colorado,15.4,14.8,28,13.4,NSD,NSD
Connecticut,6,4,18.2,4.4,N/A,N/A
Delaware,14.4,8.8,33.1,N/A,N/A,N/A
District of Columbia,21.9,N/A,49.8,N/A,N/A,N/A
Florida,13.7,13.1,24.9,6.9,3.9,N/A
Georgia,17.7,14.7,25.7,6.5,5.5,N/A
Hawaii,3.4,6.1,N/A,N/A,2.5,N/A
Idaho,17.6,18.6,N/A,11.7,N/A,N/A
Illinois,14.1,6,53.7,9,NSD,N/A
Indiana,17.3,13.1,49.8,11.9,N/A,N/A
Iowa,11.2,10.1,34.4,N/A,N/A,N/A
Kansas,16.9,14.2,41.7,15.5,N/A,N/A
Kentucky,20.1,17.4,47.6,NSD,N/A,N/A
Louisiana,26.3,15.4,46.4,8.2,N/A,N/A
Maine,10.4,10.6,N/A,N/A,N/A,N/A
Maryland,13.5,7.2,27.6,5.5,N/A,N/A
Massachusetts,3.7,2.6,11.9,4.6,N/A,N/A
Michigan,14.6,9.4,42.1,10.2,N/A,NSD
Minnesota,8.9,7.6,21.5,NSD,N/A,NSD
Mississippi,28.6,20.2,41.1,NSD,N/A,N/A
Missouri,23.9,16.4,73.7,11.8,N/A,N/A
Montana,20.9,19.7,N/A,N/A,N/A,38.8
Nebraska,10.1,9.5,23.4,NSD,N/A,N/A
Nevada,17,19.7,28.8,8.9,NSD,N/A
New Hampshire,8.9,9.5,N/A,N/A,N/A,N/A
New Jersey,5,3.1,17,2.9,N/A,N/A
New Mexico,22.7,25.6,46.4,20.2,N/A,14.2
New York,5.3,4,14.8,3,N/A,N/A
North Carolina,16,13.5,25.8,6.7,6.2,22.5
North Dakota,13.8,12.5,N/A,N/A,N/A,NSD
Ohio,15.2,10.3,45,7.7,N/A,N/A
Oklahoma,20.7,20.1,33.3,10.3,N/A,23.5
Oregon,13,13.5,26.3,8.5,N/A,N/A
Pennsylvania,13.6,9,42.2,9.3,NSD,N/A
Rhode Island,5.1,4.5,N/A,NSD,N/A,N/A
South Carolina,22,17.3,35.4,8.3,N/A,N/A
South Dakota,13.6,11.3,N/A,N/A,N/A,28.4
Tennessee,21.3,16.1,43.9,11,N/A,N/A
Texas,14.2,15.9,25.2,8.9,4.4,N/A
Utah,13.6,13.9,NSD,11.5,N/A,N/A
Vermont,11.6,10.9,N/A,N/A,N/A,N/A
Virginia,13.4,11.9,24.3,5.4,NSD,N/A
Washington,10.9,11,18.4,9.8,4.3,NSD
West Virginia,18.1,18.1,NSD,N/A,N/A,N/A
Wisconsin,12.2,9.1,46,9.4,N/A,N/A
Wyoming,25.9,26.7,N/A,N/A,N/A,N/A
